name	date published	abn	client of
Australian Brandenburg Orchestra	30 July 2018	41 003 908 183	Brickfielder Government Engagement (BGE) | 62 621 984 923
AUSTRALIAN CAPITAL EQUITY PTY LTD	7 February 2024	88 009 412 328	Iemma Patterson Premier Advisory | 53 830 148 273
AUSTRALIAN CENTRE FOR GRIEF AND BEREAVEMENT	5 November 2024	22 038 903 478	H/Advisors APA Pty Ltd | 60 074 901 545
Australian Childcare Alliance	29 August 2012		Jannette Cotterell | 51 364 113 263
Australian Childcare Alliance Queensland	22 May 2020		Jannette Cotterell | 51 364 113 263
AUSTRALIAN CLINICAL FORENSIC MEDICINE ALLIANCE PTY LTD	5 November 2024	18 669 364 461	Precision Public Affairs Pty Ltd | 42 639 299 415
AUSTRALIAN COMMITTEE FOR UNICEF LIMITED	20 June 2023	35 060 581 437	EJF Advisory Pty Ltd | 91 659 678 047
Australian Community Workers Association Inc	6 August 2024	28 696 828 620	CPR Communications & Public Relations Pty Ltd | 94 064 357 544
Australian Computer Society	17 January 2023		TG Public Affairs Pty Ltd | 23 630 677 673
Australian Computer Society Incorporated	18 November 2024	53 156 305 487	L Ivanovski and GA Richardson | 25 268 973 694
AUSTRALIAN COUNCIL ON SMOKING & HEALTH	7 March 2024	20 902 420 947	Essential Media Communications | 48 074 671 462
Australian Dairy Farmers' Limited	6 September 2023	76 060 549 653	Currie Communications Pty Ltd | 82 050 913 909
AUSTRALIAN DAIRY PRODUCTS FEDERATION INC	22 November 2022	72 577 831 587	Counsel House Pty Ltd | 35 631 919 009
Australian Data Centres - Mitchell Pty Ltd	19 January 2021	61 143 135 997	BDAAS Consulting Pty Ltd | 62 164 001 969
Australian Data Centres - Mitchell Pty Ltd	6 July 2023	61 143 135 997	Simplicity One Pty Ltd | 38 640 087 494
Australian Deer Association	4 October 2022		CPI Strategic Pty Ltd | 47 139 102 891
Australian Digital Inclusion Alliance	11 July 2019		Eloquium Group Pty Ltd | 45 631 309 923
Australian Education Union Federal	21 June 2023	16 006 296 647	Bradley Wayne Chilcott | 47 244 225 695
Australian Electricity	1 November 2023	85 624 329 960	The Influence Corporation Pty. Ltd. | 79 671 703 156
Australian Energy Council Limited	20 November 2024	92 608 495 307	AKIN AGENCY PTY LTD | 26 624 988 263
AUSTRALIAN ENERGY PRODUCERS LIMITED	30 January 2024	44 000 292 713	CMAX Communications Pty Ltd | 73 130 740 546
